accent,ascent 
ad,add 
adherence,adherents 
aid,aide 
ail,ale 
all,awl
allar,alter 
allot,a lot
allowed,aloud 
ante-,anti- 
antecedence,antecedents 
arc,ark 
are,hour 
assistance,assistants 
ate,eight 
attendance,attendants 
bail,bale 
bare,bear 
base,bass 
bases,basis 
be,bee 
beat,beet 
berry,bury 
berth,birth 
billed,build 
blew,blue 
bloc,block 
bolder,boulder 
bored,board 
born,borne 
bouillon,bullion 
boy,bouy 
brake,break 
bread,bred 
bridal,bridle 
broach,brooch 
buy,by 
cache,cash 
call,cool 
callous,callus 
canvas,canvass 
cede,seed 
ceiling,sealing 
cell,sell 
cellar,seller 
cereal,serial 
cession,session 
chews,choose 
chord,cord 
chute,shoot 
cite,sight 
click,clique 
creak,creek 
ewe,you 
flew,flu 
for,fore 
gentle,gentile
heard,herd 
his,high 
hug,ugh
knight,night 
knot,not 
know,no 
knows,nose 
made,maid 
missed,mists
oar,or 
ode,owed 
one,won 
paw,pour 
plain,plane 
pray,prey 
read,reed 
review,revue 
scent,sent 
sea,see 
sew,so 
shore,sure 
straight,strait 
tare,tear 
there,their 
threw,through 
to,too 
toe,tow 
told,tolled 
waist,waste 
wait,weight 
ways,weigh
weather,wether 
write,wright  
bonobo,banana
xml,xaml
basic,cobol
python,csharp
elastic,electric
blunt,sharper
weather,whether
remind,forgets
junior,senior
rich,ditch
